median_p4 median_p5 median_p6 satellite time_mjd
0.0171 0.014 0.00471 13 57491.999222407
0.0177 0.0143 0.00474 13 57492.999222407
0.0171 0.0144 0.00478 13 57493.999222407
0.0177 0.0146 0.00484 13 57494.999222407
0.021 0.0148 0.00488 13 57495.999222407
0.0191 0.0148 0.00498 13 57496.999222407
0.0177 0.0146 0.00491 13 57497.999222407
0.0184 0.0146 0.00491 13 57498.999222407
0.0177 0.014 0.00481 13 57499.999222407
0.0177 0.0142 0.00471 13 57500.999222407
0.0177 0.0142 0.00478 13 57501.999222407
0.0177 0.014 0.00476 13 57502.999222407
0.0177 0.0142 0.00481 13 57503.999222407
0.0177 0.0142 0.00484 13 57504.999222407
0.0177 0.0146 0.00488 13 57505.999222407
0.0177 0.0151 0.00495 13 57506.999222407
0.0184 0.0146 0.00498 13 57507.999222407
0.01875 0.0148 0.00495 13 57508.999222407
0.0177 0.0148 0.00488 13 57509.999222407
0.0184 0.0146 0.00488 13 57510.999222407
0.0184 0.0148 0.00488 13 57511.999222407
0.0184 0.0146 0.00491 13 57512.999222407
0.0177 0.0148 0.00491 13 57513.999222407
0.0177 0.0148 0.00491 13 57514.999222407
0.0177 0.0143 0.00481 13 57515.999222407
0.0177 0.0146 0.00486 13 57516.999222407
0.0177 0.0148 0.00495 13 57517.999222407
0.0184 0.0149 0.00495 13 57518.999222407
0.0184 0.0148 0.0049949999999999994 13 57519.999222407
0.0191 0.0149 0.00505 13 57520.999222407
0.0184 0.0151 0.00512 13 57521.999222407
0.0204 0.0151 0.005065 13 57522.999222407
0.0223 0.0151 0.00505 13 57523.999222407
0.0184 0.0149 0.005065 13 57524.999222407
0.0177 0.0148 0.00495 13 57525.999222407
0.0177 0.0146 0.00498 13 57526.999222407
0.0184 0.0144 0.00491 13 57527.999222407
0.0177 0.014700000000000001 0.00488 13 57528.999222407
0.0177 0.0146 0.00484 13 57529.999222407
0.0177 0.0148 0.00495 13 57530.999222407
0.0184 0.0149 0.00495 13 57531.999222407
0.0184 0.0149 0.00498 13 57532.999222407
0.0184 0.0149 0.00498 13 57533.999222407
0.0184 0.0149 0.00505 13 57534.999222407
0.0177 0.0149 0.00495 13 57535.999222407
