median_p4 median_p5 median_p6 satellite time_mjd
0.0204 0.0161 0.00539 15 57795.999222407
0.0204 0.0167 0.00535 15 57796.999222407
0.0197 0.0166 0.00532 15 57797.999222407
0.0204 0.0166 0.00539 15 57798.999222407
0.0197 0.0167 0.00539 15 57799.999222407
0.0204 0.0163 0.00532 15 57800.999222407
0.02005 0.0161 0.00525 15 57801.999222407
0.02005 0.0163 0.00535 15 57802.999222407
0.0197 0.0163 0.00525 15 57803.999222407
0.0197 0.0163 0.00528 15 57804.999222407
0.021 0.0161 0.00539 15 57805.999222407
0.0204 0.0161 0.00528 15 57806.999222407
0.0197 0.0161 0.00522 15 57807.999222407
0.0197 0.0161 0.00528 15 57808.999222407
0.0204 0.016399999999999998 0.00525 15 57809.999222407
0.0204 0.0163 0.00535 15 57810.999222407
0.0197 0.0169 0.00539 15 57811.999222407
0.0204 0.0161 0.00525 15 57812.999222407
0.0197 0.0163 0.00522 15 57813.999222407
0.0197 0.0159 0.00518 15 57814.999222407
0.0191 0.0163 0.00528 15 57815.999222407
0.0204 0.0161 0.00528 15 57816.999222407
0.0204 0.0163 0.00532 15 57817.999222407
0.0204 0.0167 0.00532 15 57818.999222407
0.021 0.0167 0.00535 15 57819.999222407
0.0204 0.0165 0.00542 15 57820.999222407
0.0204 0.0167 0.00537 15 57821.999222407
0.0204 0.0169 0.00549 15 57822.999222407
0.021 0.0167 0.00545 15 57823.999222407
0.0204 0.0167 0.00539 15 57824.999222407
0.021 0.0167 0.005575 15 57825.999222407
0.021 0.0168 0.00549 15 57826.999222407
0.021 0.0169 0.00549 15 57827.999222407
0.021 0.0171 0.00542 15 57828.999222407
0.021 0.0171 0.00549 15 57829.999222407
0.0204 0.0173 0.00552 15 57830.999222407
0.0223 0.0173 0.0055049999999999995 15 57831.999222407
0.021 0.0169 0.00539 15 57832.999222407
0.0191 0.0167 0.0051 15 57833.999222407
0.0197 0.0167 0.00518 15 57834.999222407
0.0191 0.0163 0.00505 15 57835.999222407
0.0191 0.0167 0.00508 15 57836.999222407
0.0197 0.0171 0.00518 15 57837.999222407
0.0191 0.0171 0.00508 15 57838.999222407
0.0184 0.0165 0.00505 15 57839.999222407
0.0184 0.0167 0.00501 15 57840.999222407
0.0191 0.0163 0.00505 15 57841.999222407
0.0184 0.0163 0.00498 15 57842.999222407
0.0184 0.0163 0.004965000000000001 15 57843.999222407
0.0184 0.0163 0.00498 15 57844.999222407
0.0184 0.0161 0.00495 15 57845.999222407
0.0184 0.016399999999999998 0.00495 15 57846.999222407
0.0184 0.0161 0.00491 15 57847.999222407
0.0184 0.0159 0.00491 15 57848.999222407
0.01805 0.0161 0.00491 15 57849.999222407
0.0184 0.0165 0.00498 15 57850.999222407
0.0184 0.0165 0.00501 15 57851.999222407
0.0184 0.0165 0.00505 15 57852.999222407
0.0184 0.0169 0.005045 15 57853.999222407
0.0191 0.0169 0.00508 15 57854.999222407
0.0184 0.0165 0.00508 15 57855.999222407
0.0184 0.0169 0.00505 15 57856.999222407
0.0191 0.017 0.00515 15 57857.999222407
